,thanks_male,thanks_female,tuple,average_male,average_female,female-male
0,-0.42822018,-0.50637907,"('unsociable', 'sociable')",-0.4282202,-0.5063791,-0.0781589
1,1.7678537,1.6537879,"('unfriendly', 'friendly')",1.7678537,1.6537879,-0.1140658
2,0.14567178,0.24873525,"('unlikable', 'likable')",0.1456718,0.2487352,0.1030634
3,0.42494038,0.47433636,"('repellent', 'pleasant')",0.4249404,0.4743364,0.049396
4,-7.081094,-7.159161,"('disliked', 'liked')",-7.0810938,-7.1591611,-0.0780673
5,-0.20424543,-0.20344327,"('distant', 'outgoing')",-0.2042454,-0.2034433,0.0008021
6,0.30071276,0.22443308,"('distant', 'open')",0.3007128,0.2244331,-0.0762797
7,0.54402256,0.58761096,"('insensitive', 'sensitive')",0.5440226,0.587611,0.0435884
8,1.5412452,1.4502494,"('unaffectionate', 'affectionate')",1.5412452,1.4502494,-0.0909958
9,1.5708746,1.5767846,"('unaffectionate', 'caring')",1.5708746,1.5767846,0.00591
10,0.79634964,0.7886563,"('unsympathetic', 'sympathetic')",0.7963496,0.7886563,-0.0076933
11,1.7115256,1.700043,"('unhelpful', 'helpful')",1.7115256,1.700043,-0.0114826
12,-1.8146492,-1.8495549,"('unsupportive', 'supportive')",-1.8146492,-1.8495549,-0.0349057
13,-0.39284524,-0.39924783,"('impolite', 'polite')",-0.3928452,-0.3992478,-0.0064026
14,-0.38563532,-0.37976277,"('antisocial', 'social')",-0.3856353,-0.3797628,0.0058725
15,0.54613614,0.4455297,"('boring', 'funny')",0.5461361,0.4455297,-0.1006064
16,-0.14449301,-0.07196452,"('unpopular', 'popular')",-0.144493,-0.0719645,0.0725285
17,-0.0203338,0.050316572,"('nasty', 'nice')",-0.0203338,0.0503166,0.0706504
18,-0.044567406,-0.15757945,"('disagreeable', 'welcoming')",-0.0445674,-0.1575795,-0.1130121
19,-0.18544036,-0.21773063,"('inhospitable', 'hospitable')",-0.1854404,-0.2177306,-0.0322902
20,0.8382335,0.77726495,"('rough', 'thoughtful')",0.8382335,0.777265,-0.0609685
21,-0.7100866,-0.61757976,"('immoral', 'moral')",-0.7100866,-0.6175798,0.0925068
22,-0.4705169,-0.5245481,"('untrustworthy', 'trustworthy')",-0.4705169,-0.5245481,-0.0540312
23,6.577249,6.576426,"('insincere', 'sincere')",6.5772491,6.576426,-0.0008231
24,1.6555909,1.551075,"('dishonest', 'honest')",1.6555909,1.551075,-0.1045159
25,1.0903721,0.9815072,"('egoistic', 'altruistic')",1.0903721,0.9815072,-0.1088649
26,0.74580705,0.67209923,"('hardhearted', 'benevolent')",0.7458071,0.6720992,-0.0737079
27,1.6487174,1.4763626,"('hardhearted', 'softhearted')",1.6487174,1.4763626,-0.1723548
28,1.3794539,1.341681,"('disloyal', 'loyal')",1.3794539,1.341681,-0.0377729
29,-0.7182054,-0.8263026,"('unfair', 'fair')",-0.7182054,-0.8263026,-0.1080972
30,0.9139437,0.86799854,"('intolerant', 'tolerant')",0.9139437,0.8679985,-0.0459452
31,-0.8437953,-0.8540126,"('evil', 'good')",-0.8437953,-0.8540126,-0.0102173
32,1.0588937,0.9993019,"('unkind', 'kind')",1.0588937,0.9993019,-0.0595918
33,-0.62671375,-0.61730295,"('wrong', 'right')",-0.6267138,-0.617303,0.0094108
34,4.7013164,4.8131685,"('mean', 'honorable')",4.7013164,4.8131685,0.1118521
35,-0.34410268,-0.5516387,"('corrupt', 'incorrupt')",-0.3441027,-0.5516387,-0.207536
36,-0.4771848,-0.59247595,"('hostile', 'amicable')",-0.4771848,-0.592476,-0.1152912
37,1.0540124,1.0353321,"('fake', 'genuine')",1.0540124,1.0353321,-0.0186803
38,-0.07355322,-0.10486193,"('untruthful', 'truthful')",-0.0735532,-0.1048619,-0.0313087
39,0.51527095,0.4932961,"('exploitative', 'cooperative')",0.5152709,0.4932961,-0.0219748
40,-1.0365114,-1.2354087,"('stingy', 'generous')",-1.0365114,-1.2354087,-0.1988973
41,-0.17936143,-0.20237549,"('unforgiving', 'forgiving')",-0.1793614,-0.2023755,-0.0230141
42,-2.017762,-2.1166663,"('unreliable', 'reliable')",-2.0177619,-2.1166663,-0.0989044
43,0.79323953,0.77427065,"('irresponsible', 'responsible')",0.7932395,0.7742707,-0.0189688
44,-1.1465864,-1.1384343,"('prejudiced', 'unprejudiced')",-1.1465864,-1.1384343,0.0081521
45,-0.34781492,-0.35691473,"('incompetent', 'competent')",-0.3478149,-0.3569147,-0.0090998
46,-0.7442461,-0.80443174,"('uncompetitive', 'competitive')",-0.7442461,-0.8044317,-0.0601856
47,4.889948,5.108833,"('stupid', 'smart')",4.8899479,5.1088328,0.2188849
48,0.27835226,0.20118241,"('unintelligent', 'intelligent')",0.2783523,0.2011824,-0.0771699
49,0.37889826,0.4602,"('unable', 'able')",0.3788983,0.4602,0.0813017
50,0.04176436,-0.023525227,"('clumsy', 'skillful')",0.0417644,-0.0235252,-0.0652896
51,0.7472073,0.64486957,"('uneducated', 'educated')",0.7472073,0.6448696,-0.1023377
52,-0.19542754,-0.23035537,"('irrational', 'rational')",-0.1954275,-0.2303554,-0.0349279
53,0.2805127,0.17660956,"('uncreative', 'creative')",0.2805127,0.1766096,-0.1039031
54,1.4383404,1.4810681,"('incapable', 'capable')",1.4383404,1.4810681,0.0427277
55,0.47135994,0.46606517,"('incompetent', 'clever')",0.4713599,0.4660652,-0.0052947
56,0.3923407,0.3900983,"('impractical', 'practical')",0.3923407,0.3900983,-0.0022424
57,-2.926616,-2.8892424,"('unimaginative', 'imaginative')",-2.926616,-2.8892424,0.0373736
58,0.21554175,0.15036455,"('undiscriminating', 'discriminating')",0.2155418,0.1503645,-0.0651773
59,0.31150544,0.3001839,"('foolish', 'wise')",0.3115054,0.3001839,-0.0113215
60,0.0039745606,0.077446535,"('inefficient', 'efficient')",0.0039746,0.0774465,0.0734719
61,0.1120708,-0.045490593,"('illogical', 'logical')",0.1120708,-0.0454906,-0.1575614
62,0.23011494,0.31097764,"('incompetent', 'brilliant')",0.2301149,0.3109776,0.0808627
63,0.085687846,0.06825224,"('unperceptive', 'insightful')",0.0856878,0.0682522,-0.0174356
64,-6.6127768,-6.584052,"('shy', 'confident')",-6.6127768,-6.5840521,0.0287247
65,-0.086946554,-0.05523085,"('insecure', 'secure')",-0.0869466,-0.0552308,0.0317158
66,-0.0047490075,-0.03444549,"('inactive', 'active')",-0.004749,-0.0344455,-0.0296965
67,-0.4707905,-0.40417963,"('doubtful', 'determined')",-0.4707905,-0.4041796,0.0666109
68,-0.66764665,-0.75051445,"('dependent', 'independent')",-0.6676466,-0.7505144,-0.0828678
69,-1.8708746,-1.8267598,"('lazy', 'industrious')",-1.8708746,-1.8267598,0.0441148
70,1.1470146,1.0801083,"('lethargic', 'energetic')",1.1470146,1.0801083,-0.0669063
71,0.6974495,0.74950355,"('diffident', 'self-confident')",0.6974495,0.7495036,0.0520541
72,0.48301739,0.5883286,"('unambitious', 'ambitious')",0.4830174,0.5883286,0.1053112
73,-2.734676,-2.7362154,"('helpless', 'self-reliant')",-2.7346759,-2.7362154,-0.0015395
74,0.3615392,0.16920742,"('undedicated', 'dedicated')",0.3615392,0.1692074,-0.1923318
75,-0.49765372,-0.39378628,"('meek', 'impulsive')",-0.4976537,-0.3937863,0.1038674
76,0.8325049,0.7523199,"('anxious', 'daring')",0.8325049,0.7523199,-0.080185
