,abercrombie_male,abercrombie_female,tuple,&_male,&_female,fitch_male,fitch_female,co_male,co_female,average_male,average_female,male-female
10,-3.769917,-3.8493092,"('unsympathetic', 'sympathetic')",-2.7482727,-2.9676332,-1.7605776,-1.9998955,0.0069775954,-0.2852831,-2.0679471,-2.2755301,0.207583
69,3.6581893,3.896889,"('lazy', 'industrious')",2.8274221,3.1637359,2.111536,2.5389936,-1.020386,-0.61758685,1.8941903,2.245508,-0.3513177
35,2.9827971,3.2037644,"('corrupt', 'incorrupt')",1.8917749,2.3340197,1.2722137,1.5536617,-0.52382743,-0.20253316,1.4057395,1.7222282,-0.3164887
55,-2.8913836,-3.1338449,"('incompetent', 'clever')",-1.8874406,-2.3041222,-2.316088,-2.6121497,0.560502,0.14370704,-1.6336026,-1.9766026,0.343
86,-2.8760486,-2.986055,"('uninfluential', 'influential')",-1.8050998,-1.7463242,-0.8413262,-0.9215161,-0.3557173,-0.45127064,-1.469548,-1.5262914,0.0567434
45,-2.8433716,-3.1669714,"('incompetent', 'competent')",-2.2102501,-2.658853,-1.5402511,-1.7870314,-0.43464923,-0.8024214,-1.7571306,-2.1038194,0.3466888
23,-2.7032914,-2.8335607,"('insincere', 'sincere')",-2.5805504,-2.7621567,-0.4429715,-0.678249,6.161134,5.692261,0.10858,-0.1454263,0.2540063
60,-2.6339104,-2.727147,"('inefficient', 'efficient')",-2.1166587,-2.4021442,-1.150849,-1.4637411,0.23513341,-0.035454467,-1.4165711,-1.6571218,0.2405507
0,-2.5033529,-2.5116282,"('unsociable', 'sociable')",-1.2035153,-1.2625867,-0.75054026,-0.9006026,-0.023765035,-0.21036115,-1.1202934,-1.2212945,0.1010011
46,-2.4472113,-2.9230897,"('uncompetitive', 'competitive')",-0.6935862,-1.1164055,-0.84478164,-1.1122432,-0.5937625,-1.0920027,-1.1448354,-1.5609354,0.4161
43,-2.4402108,-2.5289443,"('irresponsible', 'responsible')",-2.421553,-2.3978875,-0.35152286,-0.54660064,0.52793133,0.2554166,-1.1713389,-1.304504,0.1331651
62,-2.4314258,-2.5931065,"('incompetent', 'brilliant')",-2.1053524,-2.295146,-0.9546843,-1.2034456,0.27362698,-0.12258333,-1.304459,-1.5535703,0.2491113
85,2.3238218,2.6322026,"('insignificant', 'prestigious')",2.4741187,2.7760406,3.3775182,3.8026574,-0.44255543,-0.13078633,1.9332259,2.2700286,-0.3368027
28,-2.312492,-2.4392009,"('disloyal', 'loyal')",-1.9414443,-1.9452537,-1.1135737,-1.2532126,0.7437596,0.50861466,-1.1559376,-1.2822632,0.1263256
48,-2.265464,-2.3711643,"('unintelligent', 'intelligent')",-1.9886842,-1.8801206,-2.236297,-2.4146621,0.019456053,-0.28804085,-1.6177473,-1.7384969,0.1207496
72,-2.2214577,-2.1533237,"('unambitious', 'ambitious')",-1.4655304,-1.4608182,-0.27925816,-0.3067892,-0.6438237,-0.6404043,-1.1525176,-1.1403339,-0.0121837
24,-2.163188,-2.1618934,"('dishonest', 'honest')",-2.3186622,-2.2299263,-0.45063037,-0.6196194,0.5874973,0.36524296,-1.0862458,-1.1615491,0.0753033
36,2.160699,2.4742188,"('hostile', 'amicable')",1.7775649,2.1712832,2.6392784,3.0439887,-0.24909553,0.21238017,1.5821117,1.9754677,-0.393356
81,-2.1558187,-2.1945329,"('submissive', 'aggressive')",-1.6164135,-1.7517631,-2.448797,-2.5896854,-0.58314514,-0.8820054,-1.7010436,-1.8544966,0.153453
73,2.1469233,2.0776217,"('helpless', 'self-reliant')",1.243529,1.3076853,1.512919,1.5806394,-3.337223,-3.2626896,0.3915371,0.4258142,-0.0342771
63,-2.1032112,-2.3262768,"('unperceptive', 'insightful')",-0.54929566,-0.74790674,0.41789454,0.2980222,0.5530012,0.08816453,-0.4204028,-0.6719992,0.2515964
21,-2.1012838,-2.122394,"('immoral', 'moral')",-1.2738715,-1.3371202,-1.7698817,-1.8509293,-0.73919314,-1.0283078,-1.4710575,-1.5846878,0.1136303
57,-2.0579922,-2.169797,"('unimaginative', 'imaginative')",-1.7496995,-1.8386662,-1.4703575,-1.5665982,-3.3048391,-3.3532884,-2.1457219,-2.2320874,0.0863655
65,-2.0243962,-2.0857377,"('insecure', 'secure')",-1.498488,-1.7065125,-2.764942,-2.9537284,0.18254331,-0.23252086,-1.5263207,-1.7446249,0.2183042
11,-2.0243394,-2.1840253,"('unhelpful', 'helpful')",-2.6173863,-2.6802003,-0.8525519,-1.1007925,1.999648,1.7092022,-0.8736573,-1.0639539,0.1902966
6,1.9594454,2.222602,"('distant', 'open')",1.4213262,1.6247671,2.9706068,3.1963046,-0.06264375,0.21874726,1.5721837,1.8156052,-0.2434215
44,1.9444616,2.0352752,"('prejudiced', 'unprejudiced')",0.13234033,0.30653608,-1.4331055,-1.4115396,-1.3746295,-1.2133704,-0.1827332,-0.0707747,-0.1119585
14,-1.9023316,-2.0421228,"('antisocial', 'social')",-1.2230424,-1.4913846,-2.8299022,-2.9445457,-0.3502654,-0.52573115,-1.5763854,-1.750946,0.1745606
5,1.8670171,2.1490614,"('distant', 'outgoing')",1.168982,1.4241207,3.6091895,3.8233533,-0.5201,-0.23292041,1.5312722,1.7909038,-0.2596316
13,-1.8222816,-1.6981417,"('impolite', 'polite')",-1.71827,-1.7710999,-0.5880867,-0.7339259,-0.15224299,-0.5217058,-1.0702204,-1.1812183,0.1109979
7,-1.7740569,-1.8707772,"('insensitive', 'sensitive')",-1.5872967,-1.7098504,-0.27163252,-0.43015698,0.46026117,0.10708712,-0.7931812,-0.9759244,0.1827432
3,-1.7583647,-1.9624672,"('repellent', 'pleasant')",-0.98766077,-1.2433443,-0.49935263,-0.7849282,0.6067841,0.46022403,-0.6596485,-0.8826289,0.2229804
