,cameron_male,cameron_female,tuple,international_male,international_female,corp_male,corp_female,average_male,average_female,male-female
12,3.0455446,3.0834618,"('unsupportive', 'supportive')",0.32995546,0.36939266,-2.1440482,-2.163153,0.410484,0.4299005,-0.0194165
9,2.772906,2.7122884,"('unaffectionate', 'caring')",0.28682208,0.34105372,1.1013917,1.2919277,1.38704,1.4484232,-0.0613832
39,2.4774547,2.4114711,"('exploitative', 'cooperative')",0.676137,0.57057905,0.29525945,0.30579868,1.149617,1.0959496,0.0536674
74,2.3403857,2.0422394,"('undedicated', 'dedicated')",0.77173156,0.78506976,-0.25009394,-0.40392932,0.9540078,0.8077933,0.1462145
2,2.132382,1.7956642,"('unlikable', 'likable')",1.4418213,1.4411054,0.87938744,0.75673974,1.4845303,1.3311698,0.1533605
73,1.8477336,1.8615065,"('helpless', 'self-reliant')",0.6793043,0.77709305,-3.272543,-3.0595024,-0.2485017,-0.140301,-0.1082007
43,1.809294,2.0919545,"('irresponsible', 'responsible')",0.3484058,0.45997298,0.30092978,0.291587,0.8195432,0.9478381,-0.1282949
16,-1.5760051,-1.4923205,"('unpopular', 'popular')",0.3493722,0.120899364,0.4739551,0.137358,-0.2508926,-0.4113544,0.1604618
8,1.5712752,1.4586025,"('unaffectionate', 'affectionate')",-0.10723637,-0.23085468,0.522397,0.6087882,0.6621453,0.6121787,0.0499666
71,1.5025166,1.3060025,"('diffident', 'self-confident')",1.107305,0.97240967,0.42045736,0.38685122,1.0100931,0.8884211,0.121672
28,1.4934657,1.2279247,"('disloyal', 'loyal')",-0.27366686,-0.39857298,1.0466452,1.115194,0.7554813,0.6481819,0.1072994
85,1.4754685,1.0310347,"('insignificant', 'prestigious')",-0.119327046,-0.589035,-0.32207474,-0.5906668,0.3446889,-0.0495557,0.3942446
33,1.4625736,1.1581966,"('wrong', 'right')",0.8185932,0.68028134,-0.6001187,-0.54917014,0.5603494,0.4297692,0.1305802
44,-1.4610198,-1.3541921,"('prejudiced', 'unprejudiced')",0.3229043,0.40778416,-0.9865722,-1.0270464,-0.7082292,-0.6578182,-0.050411
38,1.3979381,1.6288475,"('untruthful', 'truthful')",-0.30599105,-0.056381196,-0.36454558,-0.1112407,0.2424672,0.4870752,-0.244608
84,1.3607451,1.4857852,"('inferior', 'superior')",0.3056964,0.34314805,0.69603115,0.8999298,0.7874908,0.909621,-0.1221302
7,1.3424861,1.1536824,"('insensitive', 'sensitive')",0.0023396164,-0.07872625,0.4756931,0.310551,0.6068396,0.4618357,0.1450039
0,1.2734615,1.0638219,"('unsociable', 'sociable')",-0.15268512,-0.40886226,-0.35686037,-0.6238413,0.2546386,0.0103728,0.2442658
59,1.2690848,1.1205875,"('foolish', 'wise')",0.37655717,0.1585536,0.13917165,0.23039614,0.5949379,0.5031791,0.0917588
26,1.2443177,0.72766733,"('hardhearted', 'benevolent')",1.7484848,1.4618877,1.6040106,1.3162906,1.5322711,1.1686153,0.3636558
56,1.1432481,1.4803628,"('impractical', 'practical')",0.8673936,1.2361019,-0.6894381,-0.43644542,0.4404012,0.7600063,-0.3196051
62,1.1254835,1.4381715,"('incompetent', 'brilliant')",0.5226513,0.98984903,0.34061673,0.6482615,0.6629172,1.0254273,-0.3625101
55,1.0989954,0.9672794,"('incompetent', 'clever')",-0.5382971,-0.7081392,0.18203744,-0.018344767,0.2475786,0.0802651,0.1673135
30,1.0352026,1.5071808,"('intolerant', 'tolerant')",0.13155785,0.40631765,0.17624325,0.26209977,0.4476679,0.7251994,-0.2775315
23,1.0003109,0.8891158,"('insincere', 'sincere')",-0.14359628,-0.04818073,5.9194493,5.975583,2.2587214,2.2721728,-0.0134514
87,0.9903143,0.71165836,"('unsuccessful', 'successful')",1.2580751,1.1925962,1.1811157,0.9845434,1.1431684,0.9629327,0.1802357
61,0.97440785,0.9070156,"('illogical', 'logical')",-0.3627111,-0.47336933,0.51739055,0.3779558,0.3763624,0.270534,0.1058284
72,0.927559,0.8698379,"('unambitious', 'ambitious')",-0.7280967,-0.339201,-0.23066905,0.016483039,-0.0104023,0.1823733,-0.1927756
41,0.92324257,0.9758899,"('unforgiving', 'forgiving')",0.083110094,-0.0856816,0.050109223,-0.24049269,0.352154,0.2165719,0.1355821
58,0.9218199,0.8618202,"('undiscriminating', 'discriminating')",0.5193813,0.38489857,0.08513421,-0.0023896992,0.5087785,0.4147764,0.0940021
63,0.89156425,1.1029758,"('unperceptive', 'insightful')",0.6235131,0.7832681,0.17623007,0.39716873,0.5637691,0.7611376,-0.1973685
14,0.8810366,0.7747325,"('antisocial', 'social')",0.7576491,0.8213575,-0.0077469377,-0.2542502,0.5436463,0.4472799,0.0963664
24,0.8727181,1.2177079,"('dishonest', 'honest')",-0.436179,-0.20143145,0.27368745,0.45016885,0.2367422,0.4888151,-0.2520729
68,-0.8667165,-0.87423503,"('dependent', 'independent')",-0.51425683,-0.19741502,-1.5255841,-1.361587,-0.9688525,-0.811079,-0.1577735
54,0.8422439,0.8584197,"('incapable', 'capable')",0.26274416,0.5158875,0.76085144,0.9919552,0.6219465,0.7887541,-0.1668076
67,-0.8320167,-0.46397835,"('doubtful', 'determined')",0.13935314,0.25866857,-0.6032604,-0.6504551,-0.4319746,-0.285255,-0.1467196
42,0.82684255,1.1242988,"('unreliable', 'reliable')",0.5614312,0.6224419,-3.0064566,-2.8692605,-0.5393943,-0.3741733,-0.165221
1,0.8143392,0.7608216,"('unfriendly', 'friendly')",0.23537886,0.04196575,1.151418,1.1763743,0.733712,0.6597205,0.0739915
69,0.8054029,0.3909458,"('lazy', 'industrious')",2.109683,1.8954961,-0.39222023,-0.50672394,0.8409552,0.5932393,0.2477159
79,0.7934725,0.5856911,"('wavering', 'unwavering')",-0.3013119,-0.50649214,-0.22946778,-0.25463462,0.0875643,-0.0584786,0.1460429
34,-0.7495212,-0.44131425,"('mean', 'honorable')",-0.14492697,0.34877902,5.2546372,5.474035,1.4533963,1.7938333,-0.340437
81,-0.7468791,-0.57852226,"('submissive', 'aggressive')",0.17257924,0.5020536,-0.9653661,-0.7243352,-0.513222,-0.2669346,-0.2462874
27,0.7002465,0.5416099,"('hardhearted', 'softhearted')",-0.39230207,-0.29735178,0.8516405,0.76524186,0.3865283,0.3365,0.0500283
45,0.6928245,0.6742301,"('incompetent', 'competent')",0.21996503,0.013822453,0.11882116,-0.14888097,0.3438702,0.1797239,0.1641463
17,-0.6445164,-0.4287837,"('nasty', 'nice')",-1.3224827,-1.2961988,-0.75643134,-0.81952137,-0.9078101,-0.848168,-0.0596421
78,0.61547,0.522207,"('nonresilient', 'resilient')",0.3059117,0.4283303,0.20472379,0.13057886,0.3753685,0.3603721,0.0149964
88,-0.60049784,-0.7832277,"('low', 'eminent')",-0.35922593,-0.4659339,-0.7587642,-0.7759303,-0.5728293,-0.6750306,0.1022013
29,-0.5867617,-0.2508393,"('unfair', 'fair')",-0.55323553,-0.5618598,-0.28936636,-0.32296395,-0.4764545,-0.3785543,-0.0979002
47,-0.5724684,-0.5420276,"('stupid', 'smart')",-0.17503214,-0.1042459,5.3790765,5.481743,1.5438587,1.6118231,-0.0679644
22,0.5467442,0.53764087,"('untrustworthy', 'trustworthy')",-0.18683186,-0.15064362,-1.0523064,-1.0651325,-0.230798,-0.2260451,-0.0047529
52,-0.5327455,-0.6727096,"('irrational', 'rational')",-0.65608007,-0.8662496,0.17783007,0.10821682,-0.3369985,-0.4769142,0.1399157
21,0.5273075,0.6221176,"('immoral', 'moral')",0.0345945,0.018186558,-0.86470246,-0.8993785,-0.1009335,-0.0863581,-0.0145754
46,0.52671254,0.7468259,"('uncompetitive', 'competitive')",0.103502326,0.3694077,-1.0626779,-1.1049154,-0.1441543,0.0037727,-0.147927
36,0.50716627,-0.15573372,"('hostile', 'amicable')",0.75683826,0.193288,0.185804,-0.112274095,0.4832695,-0.0249066,0.5081761
66,0.49379063,0.1917178,"('inactive', 'active')",1.2672894,1.1731981,0.6297358,0.4915,0.7969386,0.6188053,0.1781333
35,-0.47584888,-0.6620014,"('corrupt', 'incorrupt')",-0.15948509,-0.42945555,-0.53846496,-0.53803957,-0.3912663,-0.5431655,0.1518992
77,0.45715415,0.45694083,"('unmotivated', 'motivated')",-0.095282495,0.018228192,-1.0305303,-0.90085447,-0.2228862,-0.1418951,-0.0809911
6,-0.4522259,-0.24483389,"('distant', 'open')",0.13220043,0.29391396,-0.27002272,-0.20117095,-0.1966827,-0.050697,-0.1459857
4,-0.45067605,-0.47491947,"('disliked', 'liked')",0.051573426,-0.18129408,-7.353488,-7.5233274,-2.5841969,-2.7265135,0.1423166
70,0.4447713,1.036697,"('lethargic', 'energetic')",0.31665227,0.6388776,-0.012046028,0.11142534,0.2497925,0.5956666,-0.3458741
5,-0.43974054,-0.020978387,"('distant', 'outgoing')",0.25562286,0.5529055,-0.45539632,-0.23874961,-0.2131713,0.0977258,-0.3108971
53,0.42667192,0.102294385,"('uncreative', 'creative')",-0.5944718,-0.61585975,0.4515678,0.42404702,0.0945893,-0.0298394,0.1244287
40,0.4127977,0.22439505,"('stingy', 'generous')",-0.16607566,-0.29480135,-2.122477,-2.3554215,-0.6252517,-0.8086092,0.1833575
