,Value_Male,0,1,Value_Female,female-male,tuple
0,0.2550069,unsociable,sociable,-0.22846374,-0.48347065,"('unsociable', 'sociable')"
1,2.1339781,unfriendly,friendly,2.3206902,0.18671203,"('unfriendly', 'friendly')"
2,1.2907962,unlikable,likable,0.42421678,-0.8665794,"('unlikable', 'likable')"
3,0.78980905,repellent,pleasant,0.8372276,0.047418535,"('repellent', 'pleasant')"
4,-0.6074856,disliked,liked,-0.16245994,0.44502565,"('disliked', 'liked')"
5,0.44161046,distant,outgoing,0.84746957,0.4058591,"('distant', 'outgoing')"
6,0.13654077,distant,open,0.77706516,0.6405244,"('distant', 'open')"
7,1.4210906,insensitive,sensitive,1.4815255,0.060434937,"('insensitive', 'sensitive')"
8,1.1715808,unaffectionate,affectionate,1.7144642,0.5428834,"('unaffectionate', 'affectionate')"
9,1.0563153,unaffectionate,caring,1.7985626,0.74224734,"('unaffectionate', 'caring')"
10,1.4741962,unsympathetic,sympathetic,1.1425698,-0.33162642,"('unsympathetic', 'sympathetic')"
11,0.72776926,unhelpful,helpful,0.36631998,-0.36144927,"('unhelpful', 'helpful')"
12,0.18112737,unsupportive,supportive,0.94349736,0.76237,"('unsupportive', 'supportive')"
13,0.755655,impolite,polite,0.4574344,-0.2982206,"('impolite', 'polite')"
14,-1.0978317,antisocial,social,-0.4908506,0.60698116,"('antisocial', 'social')"
15,0.7721563,boring,funny,0.5604864,-0.21166992,"('boring', 'funny')"
16,1.0754707,unpopular,popular,0.73564243,-0.33982825,"('unpopular', 'popular')"
17,0.24039963,nasty,nice,0.51556486,0.27516523,"('nasty', 'nice')"
18,0.5560074,disagreeable,welcoming,1.4286529,0.8726455,"('disagreeable', 'welcoming')"
19,0.7511667,inhospitable,hospitable,0.22933489,-0.5218318,"('inhospitable', 'hospitable')"
20,-0.28141218,rough,thoughtful,-0.29031345,-0.008901268,"('rough', 'thoughtful')"
21,1.028685,immoral,moral,0.41916478,-0.6095202,"('immoral', 'moral')"
22,0.0012474991,untrustworthy,trustworthy,0.087917924,0.08667043,"('untrustworthy', 'trustworthy')"
23,1.501335,insincere,sincere,1.3500346,-0.15130043,"('insincere', 'sincere')"
24,1.922252,dishonest,honest,1.8838117,-0.038440347,"('dishonest', 'honest')"
25,0.68453574,egoistic,altruistic,0.7709384,0.086402655,"('egoistic', 'altruistic')"
26,-0.25673115,hardhearted,benevolent,0.6357032,0.89243436,"('hardhearted', 'benevolent')"
27,0.34637228,hardhearted,softhearted,1.3616085,1.0152363,"('hardhearted', 'softhearted')"
28,0.68102497,disloyal,loyal,0.5063994,-0.17462558,"('disloyal', 'loyal')"
29,-1.5702702,unfair,fair,-0.8974299,0.6728403,"('unfair', 'fair')"
30,0.8467129,intolerant,tolerant,0.8980601,0.051347196,"('intolerant', 'tolerant')"
31,-0.75171566,evil,good,-0.740555,0.011160672,"('evil', 'good')"
32,2.4006186,unkind,kind,2.1700718,-0.23054671,"('unkind', 'kind')"
33,-0.2248126,wrong,right,0.5374299,0.76224256,"('wrong', 'right')"
34,0.8848003,mean,honorable,0.60572785,-0.27907246,"('mean', 'honorable')"
35,-1.0052613,corrupt,incorrupt,-0.8979929,0.10726839,"('corrupt', 'incorrupt')"
36,0.38386744,hostile,amicable,0.7725607,0.38869327,"('hostile', 'amicable')"
37,0.6662578,fake,genuine,0.4450078,-0.22125,"('fake', 'genuine')"
38,0.51344997,untruthful,truthful,0.7127825,0.19933254,"('untruthful', 'truthful')"
39,0.35501075,exploitative,cooperative,0.6113908,0.25638008,"('exploitative', 'cooperative')"
40,0.16883676,stingy,generous,-0.081541866,-0.2503786,"('stingy', 'generous')"
41,0.8210793,unforgiving,forgiving,0.5567049,-0.26437443,"('unforgiving', 'forgiving')"
42,0.33698323,unreliable,reliable,0.7489739,0.41199067,"('unreliable', 'reliable')"
43,1.1172397,irresponsible,responsible,1.260008,0.14276826,"('irresponsible', 'responsible')"
44,-0.8104845,prejudiced,unprejudiced,-1.268496,-0.4580115,"('prejudiced', 'unprejudiced')"
45,0.2995461,incompetent,competent,0.5757986,0.27625248,"('incompetent', 'competent')"
46,-0.041238178,uncompetitive,competitive,0.015897527,0.057135705,"('uncompetitive', 'competitive')"
47,0.8404561,stupid,smart,0.36828575,-0.47217038,"('stupid', 'smart')"
48,1.2577323,unintelligent,intelligent,0.7935269,-0.46420538,"('unintelligent', 'intelligent')"
49,0.17849362,unable,able,1.2350993,1.0566057,"('unable', 'able')"
50,0.8459079,clumsy,skillful,0.6823335,-0.1635744,"('clumsy', 'skillful')"
51,0.67274666,uneducated,educated,0.2989142,-0.37383246,"('uneducated', 'educated')"
52,-0.07741791,irrational,rational,-0.06131456,0.01610335,"('irrational', 'rational')"
53,1.1033032,uncreative,creative,1.4655285,0.3622253,"('uncreative', 'creative')"
54,2.3093617,incapable,capable,1.5149823,-0.79437935,"('incapable', 'capable')"
55,0.2716981,incompetent,clever,0.35846102,0.086762935,"('incompetent', 'clever')"
56,0.8424473,impractical,practical,1.2287936,0.38634634,"('impractical', 'practical')"
57,0.6346395,unimaginative,imaginative,0.5435862,-0.09105331,"('unimaginative', 'imaginative')"
58,0.22657156,undiscriminating,discriminating,0.17574053,-0.050831035,"('undiscriminating', 'discriminating')"
59,0.15380114,foolish,wise,0.09645395,-0.057347193,"('foolish', 'wise')"
60,0.21430644,inefficient,efficient,0.7857971,0.57149065,"('inefficient', 'efficient')"
61,-0.6302902,illogical,logical,-0.19407317,0.43621704,"('illogical', 'logical')"
62,0.7874805,incompetent,brilliant,0.7212109,-0.06626958,"('incompetent', 'brilliant')"
63,0.6524171,unperceptive,insightful,0.6556132,0.0031960607,"('unperceptive', 'insightful')"
64,-1.307904,shy,confident,-1.8478295,-0.53992546,"('shy', 'confident')"
65,-0.0695412,insecure,secure,-0.7477907,-0.6782495,"('insecure', 'secure')"
66,-0.48922426,inactive,active,-0.5058837,-0.016659439,"('inactive', 'active')"
67,-0.76740736,doubtful,determined,-0.56767654,0.19973081,"('doubtful', 'determined')"
68,-0.099174246,dependent,independent,-0.07637063,0.02280362,"('dependent', 'independent')"
69,-1.612319,lazy,industrious,-0.69756,0.914759,"('lazy', 'industrious')"
70,0.79408807,lethargic,energetic,1.0924613,0.29837328,"('lethargic', 'energetic')"
71,0.079126395,diffident,self-confident,0.236282,0.1571556,"('diffident', 'self-confident')"
72,0.9720826,unambitious,ambitious,0.35742715,-0.6146555,"('unambitious', 'ambitious')"
73,0.3580531,helpless,self-reliant,0.15744574,-0.20060734,"('helpless', 'self-reliant')"
74,0.116719335,undedicated,dedicated,1.6068902,1.4901708,"('undedicated', 'dedicated')"
75,0.6599636,meek,impulsive,-0.25097921,-0.9109428,"('meek', 'impulsive')"
76,1.0118608,anxious,daring,0.7113056,-0.30055523,"('anxious', 'daring')"
77,0.14675482,unmotivated,motivated,-0.2045268,-0.3512816,"('unmotivated', 'motivated')"
78,-0.99896055,nonresilient,resilient,-0.31315166,0.6858089,"('nonresilient', 'resilient')"
79,0.74028987,wavering,unwavering,0.64781106,-0.09247881,"('wavering', 'unwavering')"
80,-0.8103165,dominated,dominating,-1.5543244,-0.7440079,"('dominated', 'dominating')"
81,1.5851244,submissive,aggressive,-0.24162975,-1.8267541,"('submissive', 'aggressive')"
82,2.3175368,poor,rich,1.3719741,-0.9455627,"('poor', 'rich')"
83,-0.76062167,powerless,powerful,-0.5088913,0.25173038,"('powerless', 'powerful')"
84,-0.013970472,inferior,superior,-0.39170107,-0.3777306,"('inferior', 'superior')"
85,1.255704,insignificant,prestigious,1.3065053,0.050801277,"('insignificant', 'prestigious')"
86,0.33927646,uninfluential,influential,0.8450834,0.5058069,"('uninfluential', 'influential')"
87,0.11478412,unsuccessful,successful,-0.40217173,-0.51695585,"('unsuccessful', 'successful')"
88,1.9291121,low,eminent,1.4697282,-0.45938385,"('low', 'eminent')"
