,comb_male,comb_female,tuple,average_male,average_female,female-male
0,-0.25852752,-0.33698285,"('unsociable', 'sociable')",-0.2585275,-0.3369828,-0.0784553
1,1.6812632,1.6400089,"('unfriendly', 'friendly')",1.6812632,1.6400089,-0.0412543
2,0.8032906,1.0124079,"('unlikable', 'likable')",0.8032906,1.0124079,0.2091173
3,0.6558407,0.8889891,"('repellent', 'pleasant')",0.6558407,0.8889891,0.2331484
4,-7.456941,-7.2599144,"('disliked', 'liked')",-7.4569411,-7.2599144,0.1970267
5,0.16724506,0.2802512,"('distant', 'outgoing')",0.1672451,0.2802512,0.1130061
6,0.29713586,0.38573238,"('distant', 'open')",0.2971359,0.3857324,0.0885965
7,1.4199641,1.4539337,"('insensitive', 'sensitive')",1.4199641,1.4539337,0.0339696
8,1.1662686,1.0666217,"('unaffectionate', 'affectionate')",1.1662686,1.0666217,-0.0996469
9,1.6238604,1.6332495,"('unaffectionate', 'caring')",1.6238604,1.6332495,0.0093891
10,1.0976707,1.16241,"('unsympathetic', 'sympathetic')",1.0976707,1.16241,0.0647393
11,2.0632465,2.0337114,"('unhelpful', 'helpful')",2.0632465,2.0337114,-0.0295351
12,-1.3336412,-1.2350626,"('unsupportive', 'supportive')",-1.3336412,-1.2350626,0.0985786
13,0.10914363,0.04603878,"('impolite', 'polite')",0.1091436,0.0460388,-0.0631048
14,-0.074197724,-0.13411999,"('antisocial', 'social')",-0.0741977,-0.13412,-0.0599223
15,0.6710746,0.5996772,"('boring', 'funny')",0.6710746,0.5996772,-0.0713974
16,-0.49039698,-0.37869236,"('unpopular', 'popular')",-0.490397,-0.3786924,0.1117046
17,-0.3005731,-0.24954112,"('nasty', 'nice')",-0.3005731,-0.2495411,0.051032
18,-0.22022325,-0.17766348,"('disagreeable', 'welcoming')",-0.2202232,-0.1776635,0.0425597
19,0.11455001,0.27247882,"('inhospitable', 'hospitable')",0.11455,0.2724788,0.1579288
20,1.0189362,0.8677206,"('rough', 'thoughtful')",1.0189362,0.8677206,-0.1512156
21,0.028738692,0.17832613,"('immoral', 'moral')",0.0287387,0.1783261,0.1495874
22,-0.20223007,-0.2109794,"('untrustworthy', 'trustworthy')",-0.2022301,-0.2109794,-0.0087493
23,6.826281,6.837219,"('insincere', 'sincere')",6.8262811,6.8372192,0.0109381
24,2.1371322,2.1794457,"('dishonest', 'honest')",2.1371322,2.1794457,0.0423135
25,0.42510805,0.2774732,"('egoistic', 'altruistic')",0.425108,0.2774732,-0.1476348
26,0.2682861,0.22816178,"('hardhearted', 'benevolent')",0.2682861,0.2281618,-0.0401243
27,1.5549825,1.4468757,"('hardhearted', 'softhearted')",1.5549825,1.4468757,-0.1081068
28,1.0630416,1.0451714,"('disloyal', 'loyal')",1.0630416,1.0451714,-0.0178702
29,-0.05713932,-0.12844539,"('unfair', 'fair')",-0.0571393,-0.1284454,-0.0713061
30,1.3444299,1.2286494,"('intolerant', 'tolerant')",1.3444299,1.2286494,-0.1157805
31,-1.0991374,-0.9844875,"('evil', 'good')",-1.0991374,-0.9844875,0.1146499
32,1.1338974,1.057922,"('unkind', 'kind')",1.1338974,1.057922,-0.0759754
33,-0.25229508,-0.22509174,"('wrong', 'right')",-0.2522951,-0.2250917,0.0272034
34,4.5729775,4.739179,"('mean', 'honorable')",4.5729775,4.7391791,0.1662016
35,-0.5714319,-0.644511,"('corrupt', 'incorrupt')",-0.5714319,-0.644511,-0.0730791
36,-0.64150244,-0.63500094,"('hostile', 'amicable')",-0.6415024,-0.6350009,0.0065015
37,1.0670774,1.0412457,"('fake', 'genuine')",1.0670774,1.0412457,-0.0258317
38,0.19602105,0.21212186,"('untruthful', 'truthful')",0.1960211,0.2121219,0.0161008
39,0.050505355,-0.039647207,"('exploitative', 'cooperative')",0.0505054,-0.0396472,-0.0901526
40,-1.3393106,-1.3345242,"('stingy', 'generous')",-1.3393106,-1.3345242,0.0047864
41,-0.24940187,-0.25915468,"('unforgiving', 'forgiving')",-0.2494019,-0.2591547,-0.0097528
42,-1.7900995,-1.6534419,"('unreliable', 'reliable')",-1.7900995,-1.6534419,0.1366576
43,1.5453813,1.4620268,"('irresponsible', 'responsible')",1.5453813,1.4620268,-0.0833545
44,-1.4555038,-1.6518106,"('prejudiced', 'unprejudiced')",-1.4555038,-1.6518106,-0.1963068
45,0.19814314,0.3364575,"('incompetent', 'competent')",0.1981431,0.3364575,0.1383144
46,-0.47761652,-0.45656025,"('uncompetitive', 'competitive')",-0.4776165,-0.4565603,0.0210562
47,5.2203445,5.4119925,"('stupid', 'smart')",5.2203445,5.4119925,0.191648
48,1.072383,1.0346981,"('unintelligent', 'intelligent')",1.072383,1.0346981,-0.0376849
49,0.40471616,0.5713872,"('unable', 'able')",0.4047162,0.5713872,0.166671
50,0.31640485,0.50325686,"('clumsy', 'skillful')",0.3164048,0.5032569,0.1868521
51,0.7998035,0.8360453,"('uneducated', 'educated')",0.7998035,0.8360453,0.0362418
52,-0.275245,-0.28276289,"('irrational', 'rational')",-0.275245,-0.2827629,-0.0075179
53,0.9832826,0.93716294,"('uncreative', 'creative')",0.9832826,0.9371629,-0.0461197
54,1.6519245,1.7915953,"('incapable', 'capable')",1.6519245,1.7915953,0.1396708
55,1.069226,0.9951514,"('incompetent', 'clever')",1.069226,0.9951514,-0.0740746
56,0.71581984,0.7408847,"('impractical', 'practical')",0.7158198,0.7408847,0.0250649
57,-2.5730555,-2.463356,"('unimaginative', 'imaginative')",-2.5730555,-2.463356,0.1096995
58,0.45975152,0.4367209,"('undiscriminating', 'discriminating')",0.4597515,0.4367209,-0.0230306
59,0.19813028,0.41396177,"('foolish', 'wise')",0.1981303,0.4139618,0.2158315
60,0.5678601,0.53014475,"('inefficient', 'efficient')",0.5678601,0.5301448,-0.0377153
61,0.8109337,0.6785911,"('illogical', 'logical')",0.8109337,0.6785911,-0.1323426
62,1.5766656,1.6627718,"('incompetent', 'brilliant')",1.5766656,1.6627718,0.0861062
63,1.001053,1.1869957,"('unperceptive', 'insightful')",1.001053,1.1869957,0.1859427
64,-5.721236,-5.5702376,"('shy', 'confident')",-5.7212362,-5.5702376,0.1509986
65,0.9333766,0.90778476,"('insecure', 'secure')",0.9333766,0.9077848,-0.0255918
66,0.04454901,0.16734923,"('inactive', 'active')",0.044549,0.1673492,0.1228002
67,-0.86297107,-0.83786386,"('doubtful', 'determined')",-0.8629711,-0.8378639,0.0251072
68,-0.05580425,0.11016432,"('dependent', 'independent')",-0.0558042,0.1101643,0.1659685
69,-1.4912164,-1.4346416,"('lazy', 'industrious')",-1.4912164,-1.4346416,0.0565748
70,1.3629342,1.4208863,"('lethargic', 'energetic')",1.3629342,1.4208863,0.0579521
71,0.518286,0.69101775,"('diffident', 'self-confident')",0.518286,0.6910177,0.1727317
72,1.0484535,1.1138556,"('unambitious', 'ambitious')",1.0484535,1.1138556,0.0654021
73,-2.7511373,-2.6031237,"('helpless', 'self-reliant')",-2.7511373,-2.6031237,0.1480136
74,0.062082425,0.06818847,"('undedicated', 'dedicated')",0.0620824,0.0681885,0.0061061
75,-0.8430257,-0.7007373,"('meek', 'impulsive')",-0.8430257,-0.7007373,0.1422884
76,1.0133437,0.8687368,"('anxious', 'daring')",1.0133437,0.8687368,-0.1446069
77,-0.9897521,-0.9229239,"('unmotivated', 'motivated')",-0.9897521,-0.9229239,0.0668282
78,-0.26577955,-0.24587081,"('nonresilient', 'resilient')",-0.2657796,-0.2458708,0.0199088
79,0.059295088,0.19677599,"('wavering', 'unwavering')",0.0592951,0.196776,0.1374809
80,-0.1775528,-0.23381564,"('dominated', 'dominating')",-0.1775528,-0.2338156,-0.0562628
81,0.002621591,0.038513586,"('submissive', 'aggressive')",0.0026216,0.0385136,0.035892
82,6.5208335,6.747503,"('poor', 'rich')",6.5208335,6.7475028,0.2266693
83,-0.33755523,-0.35536027,"('powerless', 'powerful')",-0.3375552,-0.3553603,-0.0178051
84,0.38087597,0.32722342,"('inferior', 'superior')",0.380876,0.3272234,-0.0536526
85,-1.0599188,-1.0448449,"('insignificant', 'prestigious')",-1.0599188,-1.0448449,0.0150739
86,0.33968246,0.46214876,"('uninfluential', 'influential')",0.3396825,0.4621488,0.1224663
87,0.36843464,0.62823445,"('unsuccessful', 'successful')",0.3684346,0.6282344,0.2597998
88,0.1965277,0.40149492,"('low', 'eminent')",0.1965277,0.4014949,0.2049672
