,mention_male,mention_female,tuple,average_male,average_female,female-male
0,0.016638938,-0.070426315,"('unsociable', 'sociable')",0.0166389,-0.0704263,-0.0870652
1,1.0752585,1.0063678,"('unfriendly', 'friendly')",1.0752585,1.0063678,-0.0688907
2,0.3223853,0.5344863,"('unlikable', 'likable')",0.3223853,0.5344863,0.212101
3,0.7878156,0.8840435,"('repellent', 'pleasant')",0.7878156,0.8840435,0.0962279
4,-6.93649,-7.045193,"('disliked', 'liked')",-6.9364901,-7.0451932,-0.1087031
5,-0.39782268,-0.31082326,"('distant', 'outgoing')",-0.3978227,-0.3108233,0.0869994
6,0.08707656,0.10028696,"('distant', 'open')",0.0870766,0.100287,0.0132104
7,0.786027,0.7874332,"('insensitive', 'sensitive')",0.786027,0.7874332,0.0014062
8,1.0176766,0.93923575,"('unaffectionate', 'affectionate')",1.0176766,0.9392357,-0.0784409
9,1.321039,1.3655393,"('unaffectionate', 'caring')",1.321039,1.3655393,0.0445003
10,1.1922028,1.2211881,"('unsympathetic', 'sympathetic')",1.1922028,1.2211881,0.0289853
11,1.4949902,1.5133055,"('unhelpful', 'helpful')",1.4949902,1.5133055,0.0183153
12,-1.6145111,-1.6178919,"('unsupportive', 'supportive')",-1.6145111,-1.6178919,-0.0033808
13,0.16121987,0.20397168,"('impolite', 'polite')",0.1612199,0.2039717,0.0427518
14,-0.1049588,-0.19231261,"('antisocial', 'social')",-0.1049588,-0.1923126,-0.0873538
15,0.29758823,0.21485415,"('boring', 'funny')",0.2975882,0.2148542,-0.082734
16,-0.1867038,-0.12453313,"('unpopular', 'popular')",-0.1867038,-0.1245331,0.0621707
17,0.036068685,0.05511674,"('nasty', 'nice')",0.0360687,0.0551167,0.019048
18,-0.32276216,-0.32100183,"('disagreeable', 'welcoming')",-0.3227622,-0.3210018,0.0017604
19,-0.7405467,-0.65170896,"('inhospitable', 'hospitable')",-0.7405467,-0.651709,0.0888377
20,0.8220223,0.6891421,"('rough', 'thoughtful')",0.8220223,0.6891421,-0.1328802
21,-0.10714275,0.13112113,"('immoral', 'moral')",-0.1071427,0.1311211,0.2382638
22,-0.10836228,-0.12610689,"('untrustworthy', 'trustworthy')",-0.1083623,-0.1261069,-0.0177446
23,5.525577,5.61092,"('insincere', 'sincere')",5.5255771,5.61092,0.0853429
24,1.5415267,1.5519749,"('dishonest', 'honest')",1.5415267,1.5519749,0.0104482
